signal_name,n,pearson_r,spearman_r,top_quartile_minus_bottom_quartile
ri_100,397,-0.030341453789256474,-0.0708916308893525,-0.16759005211232056
harshness_proxy_z,398,0.18750935431762145,0.20124038308624234,0.3273664154828683
seat_response_proxy_z,404,0.20990714323023127,0.3519343828510229,0.5379111083488785
ri_x_harshness,397,-0.053764050169403915,-0.00825457721398382,-0.06372773974797546
ri_x_seat_response,397,-0.10627128629199556,-0.08371296985653404,-0.21244641124111108
