filegroup_id,test_code,vehicle_year,vehicle_make_model,test_side,era,window_100_delta_vx_mps,window_150_delta_vx_mps,window_100_delta_vy_away_mps,window_150_delta_vy_away_mps,window_100_ri,window_150_ri,window_100_seat_twist_peak_mm,window_150_seat_twist_peak_mm,window_100_max_abs_ax_g,window_150_max_abs_ax_g,window_100_max_abs_ay_g,window_150_max_abs_ay_g,window_100_max_abs_az_g,window_150_max_abs_az_g,window_100_max_abs_resultant_g,window_150_max_abs_resultant_g,delta_ri_150_minus_100,delta_dvy_150_minus_100,delta_seat_twist_150_minus_100,delta_ax_150_minus_100,delta_ay_150_minus_100,delta_az_150_minus_100,delta_resultant_150_minus_100,safety_severity_score,abs_delta_ri,xyz_signature_l1_delta
6632,CEN1813,2019,2019 Chevrolet Silverado 1500 (crew cab),driver,2018-2026,-12.277641264411871,-15.59710381297106,5.672913521661784,4.710790803215312,0.46205239259639913,0.30202984218760315,2.7338133170366206,13.547877199716883,34.16003635505027,34.16003635505027,26.473124601488376,39.11582544304263,62.75662390023746,69.14343023676315,66.67529988411336,79.4809553792126,-0.16002255040879598,-0.962122718446472,10.814063882680262,0.0,12.642700841554255,6.386806336525694,12.805655495099245,0.15696499654878776,0.16002255040879598,19.02950717807995
6674,CEN1901,2019,2019 Honda HR-V,driver,2018-2026,-14.511784962425514,-16.52223717257731,5.54715756671146,7.243534697950426,0.38225191326045554,0.4384112528037572,5.557458597966303,14.986932454871543,34.90890715265677,34.90890715265677,16.762390165335106,23.01607562488616,28.594155519230153,38.20565437291768,42.56510759778122,48.41247084484964,0.056159339543301656,1.6963771312389655,9.42947385690524,0.0,6.253685459551054,9.611498853687525,5.847363247068422,-0.3442763755003864,0.056159339543301656,15.86518431323858
7328,CEN2102,2021,2021 Ford Mustang Mach-E,driver,2018-2026,-11.72126426475771,-8.330933895875992,-6.682616797408147,-11.589448290407738,0.5701276454879317,1.391134347632357,4.816275946070206,4.816275946070206,81.11211290358312,84.0411730084442,51.3316866381553,64.16310589605307,33.10032199837323,33.10032199837323,96.28095512208644,103.21668372761965,0.8210067021444253,-4.906831492999591,0.0,2.9290601048610796,12.831419257897771,0.0,6.935728605533214,-0.4002344236250511,0.8210067021444253,15.76047936275885
2609,CEN1601,2016,2016 Chevrolet Silverado 1500 (Crew cab),driver,2015-2017,-11.087821060185133,-15.69579009616045,4.55228720537577,4.226974648322613,0.41056643867769643,0.269306267631384,252.69041328482308,479.58619204307956,29.835909336630014,33.46468030050459,23.72662448529243,32.268438490560214,38.519479653856514,38.519479653856514,43.3758385196017,45.98994148264715,-0.14126017104631244,-0.32531255705315765,226.89577875825648,3.628770963874576,8.541814005267785,0.0,2.614102963045447,1.2998146794968373,0.14126017104631244,12.17058496914236
7744,CEN2209,2022,2022 Rivian R1T (crew cab),driver,2018-2026,-8.257950538850583,-12.978707195796808,2.871535360672464,2.3880905839789404,0.34772978442568275,0.1840006518332065,3.890518856060396,16.835547448829473,23.735748476339605,31.769195103408116,13.751468006595653,13.751468006595653,33.19809678471011,33.19809678471011,34.53407367645027,34.53407367645027,-0.16372913259247626,-0.4834447766935237,12.945028592769077,8.03344662706851,0.0,0.0,0.0,-0.12854192864883074,0.16372913259247626,8.03344662706851
2828,CEN1635,2017,2017 Chrysler Pacifica,driver,2015-2017,-10.394302333685083,-13.107558701171083,4.431596320663817,6.240010475192885,0.42634860699618377,0.47606198968503394,5.014780110504109,5.149109053281279,21.14811679082442,21.14811679082442,11.280274017867974,11.280274017867974,25.325576611241456,32.28751884491037,29.184722322825415,34.59522986941235,0.04971338268885017,1.8084141545290677,0.1343289427771701,0.0,0.0,6.961942233668918,5.410507546586935,-0.38259561888273375,0.04971338268885017,6.961942233668918
6844,CEN1905,2019,2019 Audi e-tron,driver,2018-2026,-12.631307387298893,-17.259296033637796,5.075394706903773,7.661526373540856,0.4018107192931758,0.44390723460613896,7.544350589531131,7.544350589531131,34.51429611156787,34.51429611156787,17.97466718764768,18.363863468592207,15.960390670427131,22.34505045351852,39.008905884078715,39.74359376659055,0.042096515312963156,2.5861316666370833,0.0,0.0,0.3891962809445282,6.38465978309139,0.7346878825118353,-0.5240388208943293,0.042096515312963156,6.773856064035918
4428,CEP1812,2018,2018 Nissan Pathfinder,passenger,2018-2026,-8.371768911207864,-11.19811101648512,4.168392817409631,6.519688300920915,0.4979106401072677,0.5822132225089625,1.4694653185354376,3.0955221424811237,25.36618300451078,25.36618300451078,13.221914376216725,13.618444821753743,6.732917446249363,12.16960691569689,28.40481758394206,28.40481758394206,0.08430258240169475,2.351295483511284,1.626056823945686,0.0,0.39653044553701733,5.436689469447527,0.0,-0.38441233183755874,0.08430258240169475,5.833219914984545
7456,CEN2107,2021,2021 Ford Bronco,driver,2018-2026,-11.837467901517517,-11.924022965465221,6.398959596492328,7.075944110378683,0.5405682743749621,0.5934191950881245,10.451559737656776,10.863022338617125,23.13793552207795,23.13793552207795,35.955137371043975,35.955137371043975,20.358615089975924,25.8810501027147,38.106129574628824,38.106129574628824,0.05285092071316233,0.6769845138863548,0.41146260096034837,0.0,0.0,5.522435012738775,0.0,0.06825166291029504,0.05285092071316233,5.522435012738775
1894,CN12001,2012,2012 Fiat 500,driver,2001-2014,-11.596743826901072,-12.071000050256531,6.160855964782872,6.7945658141422625,0.5312573992098953,0.5628834219081844,,,33.36846420752309,33.36846420752309,15.47740678427645,15.47740678427645,16.842699882007533,21.429405337306743,36.753138532422355,36.753138532422355,0.03162602269828907,0.6337098493593905,,0.0,0.0,4.58670545529921,0.0,0.08585493800303567,0.03162602269828907,4.58670545529921
