k,sample_count,silhouette,inertia,min_cluster_size,max_cluster_size,size_ratio,selection_score,selected_flag
2,398,0.7143930871209981,5772.485181197185,6,392,65.33333333333333,0.5681105041513139,1
3,398,0.7237712417821386,4786.831638886075,3,389,129.66666666666666,0.5534973948588768,0
4,398,0.2983675592363256,4016.419811911214,3,303,101.0,0.13683834114688148,0
