filegroup_id,test_code,test_side,era,working_mode_label,structure_intrusion_score,lower_extremity_score,restraint_kinematics_score,head_neck_chest_score,ri_100,harshness_proxy_z,seat_response_proxy_z
1532,CF09009,driver,2001-2014,,0.42050945994597083,0.5792872907476688,,-0.04150078767662974,,,0.38795194876755473
1533,CF10003,driver,2001-2014,mode_0,-0.07046600265941301,1.7842048555028203,,-0.6850344862730391,0.37137728589937546,-0.42536159976244803,0.2453959976871543
1534,CF10006,driver,2001-2014,,1.0423948278297124,4.425754901312191,,0.9771485898153327,,,0.8878161838272811
1566,CF10001,driver,2001-2014,,0.11788523953462914,1.436632481054219,2.151365421518521,0.47135891105788097,,,0.06459866033907037
1567,CF10002,driver,2001-2014,,1.8436986294934339,0.9732026484560841,,0.7130945197106671,,,-0.3407583855730752
1568,CF10004,driver,2001-2014,,0.15787707139160995,0.2780578995588813,2.8684872286913614,2.180682526110098,,,0.753660432333188
1569,CF10005,driver,2001-2014,,,,,,,,-0.013961045099321622
1573,CF10012,driver,2001-2014,mode_0,1.2976607796885269,3.753781644044895,-0.8964022589660504,3.7921888006486313,0.08099040243613112,1.2603637478260004,-0.11256912297328693
1574,CF10013,driver,2001-2014,mode_0,2.2729871188443753,1.8073763471327269,-1.6135240661388908,2.4136711613132342,0.15601703191208066,-0.15329638862960074,-0.15826146477705982
1597,CF10010,driver,2001-2014,mode_0,1.0405801117714943,0.6024587823775757,-1.0756827107592606,4.407814573791666,0.23307065339236446,0.8397877294006906,0.7263987088690697
1602,CF10018,driver,2001-2014,mode_0,1.4964798004239583,-0.30122939118878755,1.0756827107592606,0.5238989366119473,0.26887399016381863,-0.49931244036104705,0.4344719262901461
1603,CF10020,driver,2001-2014,mode_0,1.1513471027174462,0.6256302740074824,2.330645873311731,0.8110119211506694,0.36446533612825266,0.7747624992529909,0.5394522960036489
1604,CF10021,driver,2001-2014,mode_0,1.0267139038968425,1.8768908220224474,,0.6334517640696985,0.44886734415208396,0.24286356144313268,1.2773407983404714
1605,CF10022,driver,2001-2014,mode_0,2.3117569334192822,0.7878307154168298,,-0.17982402795962682,0.3576525501415564,1.000240096342513,0.9876935495811188
1667,CF10027,driver,2001-2014,mode_0,0.3630272401342036,-0.06951447488972007,0.8964022589660504,0.5106610884204983,0.42104666350115055,-0.4300319020487935,0.5084706183608826
1668,CF10028,driver,2001-2014,mode_0,-0.02694026580638715,-0.18537193303925395,2.151365421518521,0.005087235608893223,0.3961619208878235,-0.1567539191252913,0.3196738541532135
1669,CF11001,driver,2001-2014,mode_0,-0.06365395117467343,-0.556115799117762,-1.6135240661388908,-0.4376037888378307,0.2992847592715961,0.24684047058328956,-0.2002854092535289
1707,CF10029,driver,2001-2014,mode_0,0.2945726308855161,0.04634298325981355,1.342077760282017,1.6190555676727598,0.41956762614823134,-0.4202523909274539,11.618839953472937
1711,CF10023,driver,2001-2014,mode_0,0.7051220073771453,0.7183162405271095,2.689206776898151,1.1742313854711566,0.377168282760607,0.20236311864138765,11.898565673075218
1712,CF10024,driver,2001-2014,mode_0,0.21832672541487827,0.20854342466916098,0.7661799692562788,0.27109341724481534,0.2819670309206352,-0.42118548192655403,0.594330197547916
1713,CF10025,driver,2001-2014,mode_0,1.7697352103676902,3.6379241858953604,,0.5477917588687526,0.3058799786340594,1.3876200789413988,1.5244244409584515
1726,CF11003,driver,2001-2014,mode_0,0.489781224274613,0.4170868493383217,,-0.3089060735315575,0.4017920241606183,-0.4097846246796425,0.4282441881097375
1732,CF11002,driver,2001-2014,mode_0,0.2347766839116271,2.4330066211402093,1.4342436143456807,-0.015021202949325796,0.3995611270610909,1.0888311316351298,0.6758598846581528
1735,CF11004,driver,2001-2014,mode_0,0.5707450558426489,-0.06951447488972007,2.330645873311731,0.24047383100954384,0.4324689171904831,0.5286102434436549,0.812027195095409
