cluster_id,cluster_n,dimension,category,cluster_count,cluster_share,overall_count,overall_share,enrichment_ratio
0,392,era,2015-2017,132,0.336734693877551,132,0.3316582914572864,1.0153061224489797
0,392,era,2018-2026,116,0.29591836734693877,116,0.2914572864321608,1.0153061224489797
0,392,era,2001-2014,144,0.3673469387755102,150,0.3768844221105528,0.9746938775510204
0,392,make_model_family,Ford Fusion,13,0.03316326530612245,13,0.032663316582914576,1.0153061224489797
0,392,make_model_family,Mitsubishi Galant,10,0.025510204081632654,10,0.02512562814070352,1.0153061224489797
0,392,make_model_family,Toyota Tundra,6,0.015306122448979591,6,0.01507537688442211,1.0153061224489797
0,392,make_model_family,Volvo S60,6,0.015306122448979591,6,0.01507537688442211,1.0153061224489797
0,392,make_model_family,Toyota Tacoma,5,0.012755102040816327,5,0.01256281407035176,1.0153061224489797
0,392,make_model_family,Ford Taurus,3,0.007653061224489796,3,0.007537688442211055,1.0153061224489797
0,392,make_model_family,Jeep Grand Cherokee,3,0.007653061224489796,3,0.007537688442211055,1.0153061224489797
0,392,make_model_family,Honda Odyssey,3,0.007653061224489796,3,0.007537688442211055,1.0153061224489797
0,392,make_model_family,Lexus ES 350,3,0.007653061224489796,3,0.007537688442211055,1.0153061224489797
0,392,make_model_family,Mazda 6,3,0.007653061224489796,3,0.007537688442211055,1.0153061224489797
0,392,make_model_family,Nissan Rogue,3,0.007653061224489796,3,0.007537688442211055,1.0153061224489797
0,392,make_model_family,Hyundai Tucson,3,0.007653061224489796,3,0.007537688442211055,1.0153061224489797
0,392,make_model_family,Toyota Highlander,3,0.007653061224489796,3,0.007537688442211055,1.0153061224489797
0,392,make_model_family,Honda Pilot,3,0.007653061224489796,3,0.007537688442211055,1.0153061224489797
0,392,make_model_family,Toyota Sienna,3,0.007653061224489796,3,0.007537688442211055,1.0153061224489797
0,392,make_model_family,Chrysler Pacifica,3,0.007653061224489796,3,0.007537688442211055,1.0153061224489797
0,392,make_model_family,GMC Acadia,3,0.007653061224489796,3,0.007537688442211055,1.0153061224489797
0,392,make_model_family,Nissan Titan,3,0.007653061224489796,3,0.007537688442211055,1.0153061224489797
0,392,make_model_family,Nissan Frontier,3,0.007653061224489796,3,0.007537688442211055,1.0153061224489797
0,392,make_model_family,Kia Soul,4,0.01020408163265306,4,0.010050251256281407,1.0153061224489794
0,392,make_model_family,Chevrolet Malibu,4,0.01020408163265306,4,0.010050251256281407,1.0153061224489794
0,392,make_model_family,Ford Escape,4,0.01020408163265306,4,0.010050251256281407,1.0153061224489794
0,392,make_model_family,BMW X1,4,0.01020408163265306,4,0.010050251256281407,1.0153061224489794
0,392,make_model_family,Buick Encore,4,0.01020408163265306,4,0.010050251256281407,1.0153061224489794
0,392,make_model_family,Toyota RAV4,4,0.01020408163265306,4,0.010050251256281407,1.0153061224489794
0,392,make_model_family,Kia Forte,4,0.01020408163265306,4,0.010050251256281407,1.0153061224489794
0,392,make_model_family,Ford Explorer,4,0.01020408163265306,4,0.010050251256281407,1.0153061224489794
0,392,make_model_family,Acura TLX,4,0.01020408163265306,4,0.010050251256281407,1.0153061224489794
0,392,make_model_family,Jeep Wrangler 4 door,4,0.01020408163265306,4,0.010050251256281407,1.0153061224489794
0,392,make_model_family,Ford F 150,4,0.01020408163265306,4,0.010050251256281407,1.0153061224489794
0,392,make_model_family,Ram 1500,4,0.01020408163265306,4,0.010050251256281407,1.0153061224489794
0,392,make_model_family,Chevrolet Silverado 1500,4,0.01020408163265306,4,0.010050251256281407,1.0153061224489794
0,392,make_model_family,Toyota 4Runner,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Fiat 500,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Acura TL,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Acura TSX,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,BMW 328i,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Mercedes Benz C 250,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Audi A4,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Toyota Camry,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Toyota Prius v,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Subaru Legacy,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Nissan Maxima,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Nissan Altima,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Volkswagen Passat,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Volkswagen Jetta,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Honda CR V,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Mitsubishi Outlander Sport,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Subaru Forester,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Mazda CX 5,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Volkswagen Tiguan,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Hyundai Elantra,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Chevrolet Sonic,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Nissan Sentra,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Dodge Dart,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Mitsubishi Outlander,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Toyota Corolla,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Volvo XC90,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Subaru Impreza,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Toyota Prius c,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Kia Rio,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Honda Fit,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Toyota Prius,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Chevrolet Equinox,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Kia Sorento,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Mazda CX 9,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Hyundai Veloster,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Chevrolet Volt,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Nissan Pathfinder,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Jeep Cherokee,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Hyundai Santa Fe,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Jeep Renegade,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Honda HR V,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Tesla Model S,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Honda Ridgeline,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Lexus IS,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Chevrolet Colorado,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Lincoln Continental,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Chevrolet Bolt,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Volkswagen Atlas,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Mercedes Benz GLC,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Jeep Compass,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Tesla Model 3,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Chevrolet Traverse,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Toyota Corolla Cross,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Chevrolet Tahoe,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Honda Prologue,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Acura ZDX,2,0.00510204081632653,2,0.005025125628140704,1.0153061224489794
0,392,make_model_family,Honda Accord,1,0.002551020408163265,1,0.002512562814070352,1.0153061224489794
0,392,make_model_family,Volkswagen CC,1,0.002551020408163265,1,0.002512562814070352,1.0153061224489794
0,392,make_model_family,Lexus IS 250,1,0.002551020408163265,1,0.002512562814070352,1.0153061224489794
0,392,make_model_family,Infiniti G25,1,0.002551020408163265,1,0.002512562814070352,1.0153061224489794
