filegroup_id,preprocessing_case_id,source_mode,window_s,v0_mps,test_code,vehicle_year,vehicle_make_model,test_side,era,make_model_family,analysis_cohort,harmonized_wide_path,cluster_input_flag,feature_quality_score,feature_version,delta_vx_mps,delta_vy_away_mps,lr,lr_100,ly,ly_40,ly_60,ri,ri_60,t_peak_x_ms,t_peak_y_ms,t_peak_z_ms,t_50_dvx_ms,max_abs_ax_g,max_abs_ay_g,max_abs_az_g,max_abs_resultant_g,pulse_duration_x_ms,pulse_duration_y_ms,pulse_duration_z_ms,seat_twist_peak_mm,foot_resultant_left_g,foot_resultant_right_g,foot_resultant_asymmetry_g,foot_x_left_right_diff_g,foot_z_left_right_diff_g,seat_peak_minus_vehicle_peak_ms,foot_left_peak_minus_vehicle_peak_ms,foot_right_peak_minus_vehicle_peak_ms,window_020_delta_vx_mps,window_020_delta_vy_away_mps,window_020_lr,window_020_ly,window_020_ri,window_020_max_abs_ax_g,window_020_max_abs_ay_g,window_020_max_abs_az_g,window_020_max_abs_resultant_g,window_020_pulse_duration_x_ms,window_020_pulse_duration_y_ms,window_020_pulse_duration_z_ms,window_020_seat_twist_peak_mm,window_020_foot_resultant_left_g,window_020_foot_resultant_right_g,window_020_foot_x_left_right_diff_g,window_020_foot_z_left_right_diff_g,window_020_foot_resultant_asymmetry_g,window_040_delta_vx_mps,window_040_delta_vy_away_mps,window_040_lr,window_040_ly,window_040_ri,window_040_max_abs_ax_g,window_040_max_abs_ay_g,window_040_max_abs_az_g,window_040_max_abs_resultant_g,window_040_pulse_duration_x_ms,window_040_pulse_duration_y_ms,window_040_pulse_duration_z_ms,window_040_seat_twist_peak_mm,window_040_foot_resultant_left_g,window_040_foot_resultant_right_g,window_040_foot_x_left_right_diff_g,window_040_foot_z_left_right_diff_g,window_040_foot_resultant_asymmetry_g,window_060_delta_vx_mps,window_060_delta_vy_away_mps,window_060_lr,window_060_ly,window_060_ri,window_060_max_abs_ax_g,window_060_max_abs_ay_g,window_060_max_abs_az_g,window_060_max_abs_resultant_g,window_060_pulse_duration_x_ms,window_060_pulse_duration_y_ms,window_060_pulse_duration_z_ms,window_060_seat_twist_peak_mm,window_060_foot_resultant_left_g,window_060_foot_resultant_right_g,window_060_foot_x_left_right_diff_g,window_060_foot_z_left_right_diff_g,window_060_foot_resultant_asymmetry_g,window_080_delta_vx_mps,window_080_delta_vy_away_mps,window_080_lr,window_080_ly,window_080_ri,window_080_max_abs_ax_g,window_080_max_abs_ay_g,window_080_max_abs_az_g,window_080_max_abs_resultant_g,window_080_pulse_duration_x_ms,window_080_pulse_duration_y_ms,window_080_pulse_duration_z_ms,window_080_seat_twist_peak_mm,window_080_foot_resultant_left_g,window_080_foot_resultant_right_g,window_080_foot_x_left_right_diff_g,window_080_foot_z_left_right_diff_g,window_080_foot_resultant_asymmetry_g,window_100_delta_vx_mps,window_100_delta_vy_away_mps,window_100_lr,window_100_ly,window_100_ri,window_100_max_abs_ax_g,window_100_max_abs_ay_g,window_100_max_abs_az_g,window_100_max_abs_resultant_g,window_100_pulse_duration_x_ms,window_100_pulse_duration_y_ms,window_100_pulse_duration_z_ms,window_100_seat_twist_peak_mm,window_100_foot_resultant_left_g,window_100_foot_resultant_right_g,window_100_foot_x_left_right_diff_g,window_100_foot_z_left_right_diff_g,window_100_foot_resultant_asymmetry_g,window_120_delta_vx_mps,window_120_delta_vy_away_mps,window_120_lr,window_120_ly,window_120_ri,window_120_max_abs_ax_g,window_120_max_abs_ay_g,window_120_max_abs_az_g,window_120_max_abs_resultant_g,window_120_pulse_duration_x_ms,window_120_pulse_duration_y_ms,window_120_pulse_duration_z_ms,window_120_seat_twist_peak_mm,window_120_foot_resultant_left_g,window_120_foot_resultant_right_g,window_120_foot_x_left_right_diff_g,window_120_foot_z_left_right_diff_g,window_120_foot_resultant_asymmetry_g,window_150_delta_vx_mps,window_150_delta_vy_away_mps,window_150_lr,window_150_ly,window_150_ri,window_150_max_abs_ax_g,window_150_max_abs_ay_g,window_150_max_abs_az_g,window_150_max_abs_resultant_g,window_150_pulse_duration_x_ms,window_150_pulse_duration_y_ms,window_150_pulse_duration_z_ms,window_150_seat_twist_peak_mm,window_150_foot_resultant_left_g,window_150_foot_resultant_right_g,window_150_foot_x_left_right_diff_g,window_150_foot_z_left_right_diff_g,window_150_foot_resultant_asymmetry_g,window_250_delta_vx_mps,window_250_delta_vy_away_mps,window_250_lr,window_250_ly,window_250_ri,window_250_max_abs_ax_g,window_250_max_abs_ay_g,window_250_max_abs_az_g,window_250_max_abs_resultant_g,window_250_pulse_duration_x_ms,window_250_pulse_duration_y_ms,window_250_pulse_duration_z_ms,window_250_seat_twist_peak_mm,window_250_foot_resultant_left_g,window_250_foot_resultant_right_g,window_250_foot_x_left_right_diff_g,window_250_foot_z_left_right_diff_g,window_250_foot_resultant_asymmetry_g,signal_ready_flag,cluster_id,working_mode_label,exploratory_interpretation,report_test_weight_kg_measured,report_curb_weight_kg_measured,report_speed_target_kmh,report_speed_actual_kmh,detail_url,intrusion_max_resultant_cm,head_hic15,leg_foot_index_left,leg_foot_index_right,outcome_quality_score,minor_cluster_flag
2015,184,standard_baseline,0.15,17.88888888888889,CEN1219,2012,2012 Hyundai Sonata,driver,2001-2014,Hyundai Sonata,2001-2014|driver|signal-ready,D:\vscode\IIHS\data\derived\small_overlap\preprocessed_signals\2015-CEN1219\modes\standard_baseline\harmonized_wide.parquet,1,0.8888888888888888,slide-away-features:v1,-12.6365032577075,43.67092039752321,0.2790331888681298,0.5855182318717214,1.493343430264703,0.4585722224272586,1.493343430264703,5.351848775847421,5.351848775847421,61.8,50.8,52.1,64.3,33.581694989759576,269.6948687435143,26.113670001555946,43.22316530286532,133.8,145.29999999999998,134.6,,130.45615081599686,89.26476260238742,41.19138821360944,120.34738468863203,75.06857548883896,,-6.300000000000004,16.800000000000004,-0.5094919549632855,1.5080352484466262,0.028480916737078,0.0843001070560225,2.9598803940982674,14.416733172040091,62.10542290021372,13.798106043063813,15.38010667229688,13.4,19.0,17.5,,1.9133253260922023,1.6257393504909643,0.8750944672320526,0.6238431931406662,0.2875859756012378,-1.636128765161239,8.203347534532071,0.0914606142015599,0.4585722224272586,5.013876480390367,15.816473009432851,67.48775410471966,13.798106043063813,17.105539435078565,40.0,38.900000000000006,33.9,,4.010335739555802,1.800394922149284,1.371662627938666,2.3444482571372625,2.209940817406518,-4.991593711974323,26.714254696957468,0.2790331888681298,1.493343430264703,5.351848775847421,32.03852690020623,269.6948687435143,26.113670001555946,43.22316530286532,59.7,56.99999999999999,56.6,,130.45615081599686,7.97633875056759,120.34738468863203,72.67796912696542,122.47981206542929,-8.204695414957259,35.26682426243187,0.4586475697802194,1.971437381129732,4.298370930155436,33.581694989759576,269.6948687435143,26.113670001555946,43.22316530286532,79.7,75.39999999999999,77.10000000000001,,130.45615081599686,89.26476260238742,120.34738468863203,75.06857548883896,41.19138821360944,-10.474270592371903,37.61009800306259,0.5855182318717214,2.102427838680517,3.5907128492988227,33.581694989759576,269.6948687435143,26.113670001555946,43.22316530286532,99.70000000000002,97.0,97.1,,130.45615081599686,89.26476260238742,120.34738468863203,75.06857548883896,41.19138821360944,-11.851746719345432,40.93208577667756,0.6625200029447756,2.2881290185720373,3.453675373425313,33.581694989759576,269.6948687435143,26.113670001555946,43.22316530286532,119.7,114.0,117.1,,130.45615081599686,89.26476260238742,120.34738468863203,75.06857548883896,41.19138821360944,-12.6365032577075,43.67092039752321,0.7063883808656367,2.4412315750168254,3.455933932584285,33.581694989759576,269.6948687435143,26.113670001555946,43.22316530286532,133.8,145.29999999999998,134.6,12.269781111592769,130.45615081599686,89.26476260238742,120.34738468863203,75.06857548883896,41.19138821360944,-12.310416343789154,36.278407598494,0.6881599198391453,2.027985517928236,2.9469683709598637,33.581694989759576,269.6948687435143,26.113670001555946,43.22316530286532,133.8,226.0,224.4,,130.45615081599686,89.26476260238742,120.34738468863203,75.06857548883896,41.19138821360944,1,1,mode_1,,1652.0,1479.0,64.4,,https://techdata.iihs.org/secure/filegroup.aspx?2015,28.0,123.0,1.09,0.46,0.9411764705882353,1
2020,199,standard_baseline,0.15,17.88888888888889,CEN1229,2013,2013 Honda Accord 4-door,driver,2001-2014,Honda Accord 4 door,2001-2014|driver|signal-ready,D:\vscode\IIHS\data\derived\small_overlap\preprocessed_signals\2020-CEN1229\modes\standard_baseline\harmonized_wide.parquet,1,1.0,slide-away-features:v1,-15.525487508668297,57.74987330690416,0.3457300150039951,0.7013820747862097,1.5693217217506468,0.8722032808075004,1.5693217217506468,4.539153829997989,4.539153829997989,63.5,51.2,59.2,67.2,33.18207418380705,164.85974908169993,29.91255858038637,43.379951910781294,133.39999999999998,116.7,147.0,18.55924459788921,44.091659991958615,57.590112919224914,13.4984529272663,50.93236092803552,31.379806315709036,34.8,-11.9,4.700000000000003,-1.0493099296926205,2.754511475557912,0.0586570768151154,0.1539789023603801,2.625069483870037,9.924510362930084,57.65605278177686,26.910973566683086,26.85234732566109,19.9,19.1,17.2,1.83449045192493,17.35673342071802,1.523862045671124,9.135500771965797,14.568852278945286,15.832871375046896,-2.986429082339786,15.60274757888973,0.1669432406276899,0.8722032808075004,5.224549838185141,18.27178196258955,101.59904065048822,26.910973566683086,26.85234732566109,40.0,38.3,36.6,2.342500048994083,19.34254338327092,8.096893114181132,9.560619822737092,14.568852278945286,11.24565026908979,-6.184725823960358,28.073421911317126,0.3457300150039951,1.5693217217506468,4.539153829997989,27.22992227035017,164.85974908169993,29.91255858038637,30.236757218812983,59.6,57.1,56.99999999999999,12.268050983302508,44.091659991958615,19.58684548687165,35.02940076124144,23.179536517503045,24.50481450508697,-9.827117525221675,36.27724658954613,0.5493419734595968,2.0279206168069264,3.691545002533976,33.18207418380705,164.85974908169993,29.91255858038637,43.379951910781294,79.3,74.7,77.0,14.022352656827586,44.091659991958615,57.590112919224914,50.93236092803552,26.622177611160787,13.4984529272663,-12.546946004508865,48.3603652109395,0.7013820747862097,2.7033744527854378,3.854353497142711,33.18207418380705,164.85974908169993,29.91255858038637,43.379951910781294,99.3,97.1,94.7,18.55924459788921,44.091659991958615,57.590112919224914,50.93236092803552,31.379806315709036,13.4984529272663,-14.986167742277974,58.175097236972775,0.8377360849720606,3.2520240691475464,3.881919529891093,33.18207418380705,164.85974908169993,29.91255858038637,43.379951910781294,119.29999999999998,116.7,117.0,18.55924459788921,44.091659991958615,57.590112919224914,50.93236092803552,31.379806315709036,13.4984529272663,-15.525487508668297,57.74987330690416,0.8678843948945011,3.2282537873424686,3.719681799019893,33.18207418380705,164.85974908169993,29.91255858038637,43.379951910781294,133.39999999999998,116.7,147.0,18.55924459788921,44.091659991958615,57.590112919224914,50.93236092803552,31.379806315709036,13.4984529272663,-15.033161050808724,58.0942310471961,0.84036304010732,3.2475035989115835,3.8644055532200174,33.18207418380705,164.85974908169993,29.91255858038637,43.379951910781294,133.39999999999998,116.7,147.2,18.55924459788921,44.091659991958615,57.590112919224914,50.93236092803552,31.379806315709036,13.4984529272663,1,1,mode_1,,1622.0,1476.0,64.4,,https://techdata.iihs.org/secure/filegroup.aspx?2020,17.0,178.0,0.55,0.61,0.9411764705882353,1
2025,214,standard_baseline,0.15,17.88888888888889,CEN1234,2013,2013 Honda Accord 2-door,driver,2001-2014,Honda Accord 2 door,2001-2014|driver|signal-ready,D:\vscode\IIHS\data\derived\small_overlap\preprocessed_signals\2025-CEN1234\modes\standard_baseline\harmonized_wide.parquet,1,1.0,slide-away-features:v1,-15.513996769424631,69.76157587855639,0.3676936836917237,0.7300744812029903,1.8797784086633795,1.0415639554712048,1.8797784086633795,5.11234892530652,5.11234892530652,46.0,90.7,65.8,67.7,35.36485094258289,131.99985155032982,19.789071868193155,38.94199314957075,123.3,121.3,143.0,5.902008712362619,50.033420053656,66.0902706735536,16.056850619897602,43.61202823468378,37.18607262768259,-14.6,2.5,16.700000000000003,-0.9932082294832366,3.418311581232768,0.0555209569276343,0.1910857405658068,3.4416867276777454,8.515506846669625,59.05443515937436,19.344951810164712,19.14454544269425,20.0,19.200000000000003,18.2,0.5411602400686579,16.240555979539472,2.058263688949104,10.71924680699829,13.992394025736772,14.182292290590368,-2.9766429953240734,18.632421870096,0.1663961922851966,1.0415639554712048,6.259542007343561,18.312310095877592,125.9632880634766,19.344951810164712,22.10770963175725,40.0,38.2,38.2,5.902008712362619,24.11136908161368,6.099026359699755,12.493596369166138,13.992394025736772,18.012342721913924,-6.577631452707503,33.62714708831157,0.3676936836917237,1.8797784086633795,5.11234892530652,35.36485094258289,125.9632880634766,19.344951810164712,38.94199314957075,59.3,58.2,58.2,5.902008712362619,50.033420053656,59.765708662537634,43.61202823468378,27.1658427557855,9.732288608881632,-9.914185119783168,45.66504375358792,0.5542091060748354,2.552704309206778,4.606030974998241,35.36485094258289,125.9632880634766,19.789071868193155,38.94199314957075,79.3,78.2,78.10000000000001,5.902008712362619,50.033420053656,66.0902706735536,43.61202823468378,37.18607262768259,16.056850619897602,-13.060221274853497,61.83768146805725,0.7300744812029903,3.456764802562206,4.734811161823208,35.36485094258289,131.99985155032982,19.789071868193155,38.94199314957075,99.3,98.1,98.1,5.902008712362619,50.033420053656,66.0902706735536,43.61202823468378,37.18607262768259,16.056850619897602,-14.994618022345897,67.63344209892327,0.8382084608764787,3.78075142167894,4.510514505813471,35.36485094258289,131.99985155032982,19.789071868193155,38.94199314957075,119.29999999999998,118.1,114.6,5.902008712362619,50.033420053656,66.0902706735536,43.61202823468378,37.18607262768259,16.056850619897602,-15.513996769424631,69.76157587855639,0.8672420554336752,3.899715421782655,4.496686245032887,35.36485094258289,131.99985155032982,19.789071868193155,38.94199314957075,123.3,121.3,143.0,5.902008712362619,50.033420053656,66.0902706735536,43.61202823468378,37.18607262768259,16.056850619897602,-14.943165210328456,67.5468795637559,0.8353322167264355,3.7759125221975354,4.520252477505145,35.36485094258289,131.99985155032982,19.789071868193155,38.94199314957075,123.3,202.0,226.7,5.902008712362619,50.033420053656,66.0902706735536,43.61202823468378,37.18607262768259,16.056850619897602,1,1,mode_1,,1621.0,1472.0,64.4,,https://techdata.iihs.org/secure/filegroup.aspx?2025,16.0,142.0,0.42,0.6,0.9411764705882353,1
2027,220,standard_baseline,0.15,17.88888888888889,CEN1301,2013,2013 Honda Civic 2-door,driver,2001-2014,Honda Civic 2 door,2001-2014|driver|signal-ready,D:\vscode\IIHS\data\derived\small_overlap\preprocessed_signals\2027-CEN1301\modes\standard_baseline\harmonized_wide.parquet,1,1.0,slide-away-features:v1,-16.123703371089732,59.88678730004871,0.475224372633733,0.8864040482662666,2.016000299031216,0.9581862275910088,2.016000299031216,4.2422072922278256,4.2422072922278256,55.5,52.900000000000006,77.7,58.5,35.24627455104834,156.8430296712705,18.316093462865524,37.48486113231932,105.4,140.4,129.1,11.52766425133288,95.12291882714143,156.04254275333673,60.9196239261953,92.54834974372534,54.24752402627223,38.60000000000001,5.799999999999997,6.100000000000001,-1.2319452904444583,4.097897689707131,0.0688665069192554,0.2290750261326967,3.3263633714032066,15.566641960022762,101.09438964808572,7.432723314502129,17.30899320422943,19.7,16.6,19.200000000000003,2.8861357764066025,9.286653400534869,3.727779483170065,6.280983494867134,5.825588752731952,5.558873917364804,-3.206580128017316,17.140886960239158,0.1792498208208437,0.9581862275910088,5.345535204460231,18.46476292273828,110.569634355204,14.340031936737734,21.817658615674,39.6,36.6,38.1,4.594529170800319,12.255150287196985,6.9238545857636735,8.34142276961612,6.751779448920288,5.3312957014333096,-8.50123599933678,36.06400534933619,0.475224372633733,2.016000299031216,4.2422072922278256,35.24627455104834,156.8430296712705,14.633567927366032,37.48486113231932,59.0,56.3,57.99999999999999,10.02291941441689,81.58303020161232,116.68407268679265,65.8347934340402,40.31459617990651,35.10104248518033,-13.123217990939338,48.11105865419439,0.733596036760584,2.689438061414593,3.666102223357998,35.24627455104834,156.8430296712705,18.316093462865524,37.48486113231932,79.0,76.30000000000001,77.2,10.02291941441689,95.12291882714143,156.04254275333673,92.54834974372534,54.24752402627223,60.9196239261953,-15.856783530096548,59.256163952594456,0.8864040482662666,3.312456370020808,3.736959884715892,35.24627455104834,156.8430296712705,18.316093462865524,37.48486113231932,99.0,96.3,97.2,11.52766425133288,95.12291882714143,156.04254275333673,92.54834974372534,54.24752402627223,60.9196239261953,-16.41633389498964,61.11267158262947,0.9176832612106012,3.4162362996500946,3.722674744163275,35.24627455104834,156.8430296712705,18.316093462865524,37.48486113231932,105.4,106.1,115.0,11.52766425133288,95.12291882714143,156.04254275333673,92.54834974372534,54.24752402627223,60.9196239261953,-16.123703371089732,59.88678730004871,0.9013250331665068,3.347708606835021,3.7142079534548778,35.24627455104834,156.8430296712705,18.316093462865524,37.48486113231932,105.4,140.4,129.1,11.52766425133288,95.12291882714143,156.04254275333673,92.54834974372534,54.24752402627223,60.9196239261953,-15.46475300434382,60.10877754407966,0.8644892983794682,3.36011799935849,3.886824285340735,35.24627455104834,156.8430296712705,18.316093462865524,37.48486113231932,105.4,140.4,166.3,11.52766425133288,95.12291882714143,156.04254275333673,92.54834974372534,54.24752402627223,60.9196239261953,1,1,mode_1,,1399.0,1251.0,64.4,,https://techdata.iihs.org/secure/filegroup.aspx?2027,9.0,207.0,1.14,0.95,0.8823529411764706,1
2028,223,standard_baseline,0.15,17.88888888888889,CEN1302,2013,2013 Honda Civic 4-Door,driver,2001-2014,Honda Civic 4 Door,2001-2014|driver|signal-ready,D:\vscode\IIHS\data\derived\small_overlap\preprocessed_signals\2028-CEN1302\modes\standard_baseline\harmonized_wide.parquet,1,1.0,slide-away-features:v1,-16.72019682061124,59.63114931887701,0.4725041862510392,0.8239466182961934,2.1370162915797213,0.9784530363042808,2.1370162915797213,4.5227457317051885,4.5227457317051885,56.9,35.5,63.9,59.7,34.20306618065738,158.6987005491828,30.67442941649639,42.47517374002262,140.8,141.0,130.8,13.845228220155237,78.23099825600326,61.78590346690533,16.44509478909793,55.912164856815295,49.079388578686455,7.70000000000001,9.500000000000009,9.70000000000001,-1.345940685211132,4.149336833482724,0.0752389202913055,0.2319505062195311,3.082852668824581,15.188071504051068,61.92048457562031,16.264457205542577,16.340190524045127,19.9,18.1,18.2,2.856806362033589,8.416843531766618,3.386980166232178,5.438189341212095,4.0303580832804045,5.029863365534441,-2.9871096664235965,17.503437649443246,0.1669812857006979,0.9784530363042808,5.859656860338758,16.564727186880905,158.6987005491828,16.264457205542577,19.73758235869721,39.9,37.0,37.5,3.5756635283262863,16.501217128081084,8.879418411897932,7.706605485316966,10.217601736039914,7.621798716183152,-8.452574887379702,38.22884699381501,0.4725041862510392,2.1370162915797213,4.5227457317051885,34.20306618065738,158.6987005491828,16.264457205542577,37.47573038203671,59.2,56.99999999999999,58.2,9.81413441071846,63.150512801337214,57.74723985241416,31.301960887105714,49.079388578686455,5.403272948923053,-11.945039943136932,37.831289966710045,0.6677351521008222,2.114792606834723,3.167112889266323,34.20306618065738,158.6987005491828,30.67442941649639,42.47517374002262,79.2,77.0,66.2,13.845228220155237,78.23099825600326,61.78590346690533,55.912164856815295,49.079388578686455,16.44509478909793,-14.73948950507635,47.70621683933939,0.8239466182961934,2.6668071525096555,3.2366261275812263,34.20306618065738,158.6987005491828,30.67442941649639,42.47517374002262,99.20000000000002,97.0,86.2,13.845228220155237,78.23099825600326,61.78590346690533,55.912164856815295,49.079388578686455,16.44509478909793,-17.020242389132964,61.645457207243126,0.9514421211316564,3.446019346988746,3.621890675693453,34.20306618065738,158.6987005491828,30.67442941649639,42.47517374002262,119.2,117.0,104.8,13.845228220155237,78.23099825600326,61.78590346690533,55.912164856815295,49.079388578686455,16.44509478909793,-16.72019682061124,59.63114931887701,0.9346693874875848,3.333418284906168,3.5664143166884728,34.20306618065738,158.6987005491828,30.67442941649639,42.47517374002262,140.8,141.0,130.8,13.845228220155237,78.23099825600326,61.78590346690533,55.912164856815295,49.079388578686455,16.44509478909793,-15.59871651846022,59.60782370024074,0.8719779420257265,3.332114368336439,3.821328737508511,34.20306618065738,158.6987005491828,30.67442941649639,42.47517374002262,140.8,227.8,180.8,14.821193597427154,78.23099825600326,61.78590346690533,55.912164856815295,49.079388578686455,16.44509478909793,1,1,mode_1,,1423.0,1267.0,64.4,,https://techdata.iihs.org/secure/filegroup.aspx?2028,15.0,394.0,0.98,0.78,0.8823529411764706,1
2029,226,standard_baseline,0.15,17.88888888888889,CEN1304,2013,2013 Volvo XC 60,driver,2001-2014,Volvo XC 60,2001-2014|driver|signal-ready,D:\vscode\IIHS\data\derived\small_overlap\preprocessed_signals\2029-CEN1304\modes\standard_baseline\harmonized_wide.parquet,1,1.0,slide-away-features:v1,-11.49260686357789,70.3065537223824,0.2550179107916757,0.5521093476656497,1.3389368500703918,0.9735780570584128,1.3389368500703918,5.250363968216216,5.250363968216216,88.6,66.19999999999999,98.7,70.4,20.897990886985625,169.59774400063753,18.66550981667563,23.75349827078573,148.79999999999998,144.9,146.79999999999998,11.100701043188325,42.50542796203244,32.02137840402366,10.484049558008778,25.55040852115704,23.13508910231871,-26.79999999999999,-3.5999999999999943,-0.2999999999999971,-1.0656527986876432,5.046514670421287,0.0595706533427875,0.2821033045577116,4.735608705420842,18.49890349492972,79.89732385422694,16.22194605723727,22.363312858976983,18.9,18.4,16.900000000000002,2.1116698563888345,4.8727983791054,2.458766343549589,3.6499864627978416,2.6852060366261634,2.414032035555811,-2.508730500799623,17.416229687378273,0.1402395932124013,0.9735780570584128,6.942248153728387,18.49890349492972,121.43578191783382,16.22194605723727,22.363312858976983,38.900000000000006,37.900000000000006,36.900000000000006,3.0948866148711183,11.91776854026136,4.510192193582902,7.793485156109739,7.794855331929424,7.407576346678458,-4.561987070828867,23.95209254014812,0.2550179107916757,1.3389368500703918,5.250363968216216,19.010786201812152,121.43578191783382,16.442304888064132,22.363312858976983,56.8,57.9,56.9,10.946569904268827,19.515151448316885,15.738112408977887,9.69872472409882,12.427527308805164,3.777039039338998,-6.50848788977004,43.24119788085675,0.3638285155772072,2.417209819426775,6.643816292386859,19.010786201812152,169.59774400063753,16.442304888064132,22.363312858976983,78.89999999999999,77.30000000000001,75.39999999999999,11.100701043188325,21.8034340385822,17.226778810045122,17.335483448170752,16.796550985907867,4.576655228537078,-9.876622774907734,57.12519503015028,0.5521093476656497,3.193333883672997,5.783879402105032,20.897990886985625,169.59774400063753,18.66550981667563,23.75349827078573,98.8,97.3,96.8,11.100701043188325,42.50542796203244,32.02137840402366,25.55040852115704,16.796550985907867,10.484049558008778,-11.383753263937036,66.23629819730934,0.6363588781082815,3.7026502097874783,5.8184938360480345,20.897990886985625,169.59774400063753,18.66550981667563,23.75349827078573,118.5,114.9,109.1,11.100701043188325,42.50542796203244,32.02137840402366,25.55040852115704,16.796550985907867,10.484049558008778,-11.49260686357789,70.3065537223824,0.6424438619391367,3.9301800217480847,6.117546224016097,20.897990886985625,169.59774400063753,18.66550981667563,23.75349827078573,148.79999999999998,144.9,146.79999999999998,11.100701043188325,42.50542796203244,32.02137840402366,25.55040852115704,23.13508910231871,10.484049558008778,-11.724779303823668,69.8860584110036,0.6554224455553603,3.9066740726647975,5.960543614514984,20.897990886985625,169.59774400063753,18.66550981667563,23.75349827078573,148.9,156.39999999999998,213.8,11.100701043188325,42.50542796203244,32.02137840402366,25.55040852115704,23.13508910231871,10.484049558008778,1,1,mode_1,,2016.0,1872.0,64.4,,https://techdata.iihs.org/secure/filegroup.aspx?2029,6.0,91.0,0.37,0.46,0.9411764705882353,1
