k,sample_count,silhouette,inertia,min_cluster_size,max_cluster_size,size_ratio,window_ms,cluster_sizes_json
2,398,0.7206171420997088,5738.401721114043,6,392,65.33333333333333,100,"[6, 392]"
3,398,0.4569138674965691,4853.809287506573,6,349,58.166666666666664,100,"[6, 349, 43]"
4,398,0.37864201547502224,4040.0801070911934,2,329,164.5,100,"[6, 329, 2, 61]"
2,398,0.7143930871209981,5772.485181197185,6,392,65.33333333333333,150,"[392, 6]"
3,398,0.7237712417821386,4786.831638886075,3,389,129.66666666666666,150,"[389, 3, 6]"
4,398,0.2983675592363256,4016.419811911214,3,303,101.0,150,"[303, 86, 6, 3]"
