scope,variant_name,n,r2,adj_r2,coef_intercept,coef_ri_100_z,coef_harshness_proxy_z,coef_seat_response_proxy_z,winner_variant,winner_adj_r2,winner_margin_vs_second
overall,current,396.0,0.09466005430957825,0.08773143227623315,0.20435112319022603,-0.03882443062072269,0.1704407085798351,0.19767410004563715,foot_only,0.33659945722256013,0.19394735966315058
overall,leg_foot_only,396.0,0.1322753316364358,0.12563458162344943,0.18401633233532758,-0.02931494125305434,0.22988684048274816,0.24423099102587972,foot_only,0.33659945722256013,0.19394735966315058
overall,leg_thigh_only,396.0,0.052328925805078086,0.045076341053586266,0.21774659904241875,-0.04507842052078187,0.13992372382423962,0.142767348939412,foot_only,0.33659945722256013,0.19394735966315058
overall,foot_thigh_only,361.0,0.14979666341308107,0.14265209755940955,0.13281958026961177,-0.01928388973826467,0.0975630460005602,0.5127425983572409,foot_only,0.33659945722256013,0.19394735966315058
overall,leg_only,396.0,0.08382898673749162,0.07681747388089077,0.1912569805240922,-0.028720810669513708,0.22375735595463261,0.1775609805827301,foot_only,0.33659945722256013,0.19394735966315058
overall,foot_only,349.0,0.3423184274189174,0.33659945722256013,0.047276336081587156,-0.006213183013741075,0.19097414457795076,1.0172486042698816,foot_only,0.33659945722256013,0.19394735966315058
overall,thigh_only,342.0,0.013924797747244755,0.005172650981687843,0.21031221211866305,-0.040681819123515615,0.001271981372312065,0.1866555980768341,foot_only,0.33659945722256013,0.19394735966315058
test_side=passenger,current,52.0,0.411607986086609,0.374833485217022,0.18828058165958753,0.22322544320202312,0.3190410546567239,0.9649366432156222,foot_only,0.529320075966162,0.06607996771244784
test_side=passenger,leg_foot_only,52.0,0.4948142195329075,0.4632401082537142,0.14159569549420237,0.298230313184053,0.4741822120657726,1.186807375601584,foot_only,0.529320075966162,0.06607996771244784
test_side=passenger,leg_thigh_only,52.0,0.2079559504750481,0.15845319737973862,0.020970577485146052,0.21124904702643565,0.23598823713988584,1.222543276527929,foot_only,0.529320075966162,0.06607996771244784
test_side=passenger,foot_thigh_only,52.0,0.3066637522811936,0.2633302367987681,0.09028887831519805,0.4312329466027267,0.33600009598408,0.9546346882902088,foot_only,0.529320075966162,0.06607996771244784
test_side=passenger,leg_only,52.0,0.3043723181290299,0.2608955880120942,0.09479013048575075,0.3037493053388564,0.3950340772751794,1.3101807427136056,foot_only,0.529320075966162,0.06607996771244784
test_side=passenger,foot_only,51.0,0.5575608714081923,0.529320075966162,0.23459876493002496,0.3062656378839304,0.5512045512949104,1.37808516851073,foot_only,0.529320075966162,0.06607996771244784
test_side=passenger,thigh_only,36.0,0.04928240452043964,-0.039847370055769105,-0.004693922292506891,0.09214792287415796,0.06164308238213681,1.1988498884925445,foot_only,0.529320075966162,0.06607996771244784
era=2015-2017,current,131.0,0.3993959516852038,0.38520845448091734,0.04761595856349836,-0.5874237026722072,0.1056422111897204,0.6320189899356254,foot_only,0.5574367151016257,0.1359788287188779
era=2015-2017,leg_foot_only,131.0,0.43480885823545357,0.42145788638274784,0.12088144183500722,-1.0664848147384707,0.17290037632603464,0.8074458128291457,foot_only,0.5574367151016257,0.1359788287188779
era=2015-2017,leg_thigh_only,131.0,0.1822434131371855,0.1629263284081427,0.17502862156943813,-0.5737795685923878,0.10422720295596952,0.4823002051856977,foot_only,0.5574367151016257,0.1359788287188779
era=2015-2017,foot_thigh_only,131.0,0.3555374861728181,0.34031396222414456,0.11146946404968383,-0.4082880534612825,0.09584872624453276,0.7472866552445925,foot_only,0.5574367151016257,0.1359788287188779
era=2015-2017,leg_only,131.0,0.21296304322614001,0.19437161905037958,0.178775148119147,-1.210745206782427,0.1865105458669703,0.5404256641200266,foot_only,0.5574367151016257,0.1359788287188779
era=2015-2017,foot_only,128.0,0.5678909659259969,0.5574367151016257,0.06261044721994474,-1.0760897990328193,0.19665745870024368,1.139453950983571,foot_only,0.5574367151016257,0.1359788287188779
era=2015-2017,thigh_only,124.0,0.0789075863184111,0.05588027597637135,0.1627607070394039,0.05330536661880819,0.01975654194759066,0.4293980995692307,foot_only,0.5574367151016257,0.1359788287188779
